"name","mmsi","length","width","draught","shiptype","imo","direction","starttime"
"JNNB","431174000",198.0,32.0,8.600000381469727,"GeneralCargo",8913514,"Nordsee","2017-03-22T22:17:26.0"
"LANS7","257081000",83.0,12.0,4.0,"Tanker",9345350,"Nordsee","2017-03-21T19:23:36.0"
"LANS7","257081000",83.0,12.0,4.800000190734863,"Tanker",9345350,"Nordsee","2017-03-21T02:19:16.0"
"LAYV5","259468000",129.0,18.0,5.699999809265137,"GeneralCargo",9144251,"Hamburg","2017-03-23T17:33:29.0"
"LAYV5","259468000",129.0,18.0,5.900000095367432,"GeneralCargo",9144251,"Hamburg","2017-03-18T16:01:17.0"
"LAYV5","259468000",129.0,18.0,6.0,"GeneralCargo",9144251,"Hamburg","2017-03-18T15:46:56.0"
"LXFP","253418000",104.0,17.0,5.800000190734863,"Tanker",9684108,"Hamburg","2017-03-17T06:40:44.0"
"LXFP","253418000",104.0,17.0,5.900000095367432,"Tanker",9684108,"Hamburg","2017-03-17T03:09:48.0"
"OWRS2","219631000",399.0,60.0,10.600000381469727,"GeneralCargo",9632155,"Nordsee","2017-03-19T14:07:30.0"
"OWRS2","219631000",399.0,60.0,10.699999809265137,"GeneralCargo",9632155,"Nordsee","2017-03-19T23:34:27.0"
"OWRS2","219631000",399.0,60.0,11.300000190734863,"GeneralCargo",9632155,"Hamburg","2017-03-17T04:53:27.0"
"OZGL2","219252000",103.0,15.0,5.199999809265137,"Tanker",9268186,"Hamburg","2017-03-18T00:35:46.0"
"OZGL2","219252000",103.0,15.0,5.400000095367432,"Tanker",9268186,"Hamburg","2017-03-18T12:35:38.0"
"OZHD2","219291000",183.0,27.0,7.5,"Tanker",9352195,"Nordsee","2017-03-21T13:18:49.0"
"PBKY","244874000",170.0,26.0,8.399999618530273,"GeneralCargo",9359258,"Nordsee","2017-03-20T18:41:41.0"
"PBMI","244900091",118.0,18.0,5.900000095367432,"GeneralCargo",9186388,"Hamburg","2017-03-21T00:46:41.0"
"PBMI","244900091",118.0,18.0,6.0,"GeneralCargo",9186388,"Hamburg","2017-03-21T00:58:36.0"
